"","Species","effect","LCL","UCL","betaName"
"1","Red-eyed Dove",0.302477724120195,-0.124636469181186,1.18326391187894,"Shrub cover"
"2","Cape Turtle Dove",0.707236775424193,-0.128436098868724,2.28313698886505,"Shrub cover"
"3","Emerald-spotted Wood Dove",0.0534795003881661,-0.0058520551520691,0.261814499879108,"Shrub cover"
"4","Speckled Mousebird",0.150678153917937,-0.075871205766824,0.507685104377211,"Shrub cover"
"5","Red-faced Mousebird",1.22699272988026,-0.0365162419613477,4.20547263988818,"Shrub cover"
"6","Woodland Kingfisher",0.0120950432643704,-0.104466045040301,0.171325637511264,"Shrub cover"
"7","Acacia Pied Barbet",-0.0686059508949546,-0.198708689284787,0.0929563172667554,"Shrub cover"
"8","Golden-tailed Woodpecker",0.247814947268343,0.00766966342454576,0.72059985534147,"Shrub cover"
"9","Cardinal Woodpecker",0.441927379827314,0.0703596824058956,1.46448211583177,"Shrub cover"
"10","Barn Swallow",-0.0372103500539417,-0.0618287287576721,-0.0176032123303023,"Shrub cover"
"11","Fork-tailed Drongo",0.158516367574609,-0.0185461565203077,0.689049084030356,"Shrub cover"
"12","Black-headed Oriole",0.135170646543341,0.0160516222963736,0.355264304506229,"Shrub cover"
"13","Southern Black Tit",0.842411712573207,0.115468717355008,1.89044384361993,"Shrub cover"
"14","Dark-capped Bulbul",0.0499612833456984,-0.00679926980779653,0.134043692920966,"Shrub cover"
"15","Terrestrial Brownbul",0.079432865822859,0.0412753469087388,0.140597846854173,"Shrub cover"
"16","Sombre Greenbul",0.073259670419774,0.0403438231624152,0.114933780481618,"Shrub cover"
"17","Eastern Nicator",0.0417755172119688,-0.00999492009786821,0.101849041035612,"Shrub cover"
"18","Kurrichane Thrush",0.335086558342435,-0.0230878301955573,1.21072498857118,"Shrub cover"
"19","White-browed Scrub Robin",0.550653338340987,0.166196411303041,1.27765420808448,"Shrub cover"
"20","Willow Warbler",3.35181286577505,0.70300484392902,6.29873146788226,"Shrub cover"
"21","Yellow-breasted Apalis",0.409249283220062,0.0818156045894493,0.95621966245389,"Shrub cover"
"22","Long-billed Crombec",0.38160079736938,0.0373342484764872,1.19237724567084,"Shrub cover"
"23","Green-backed Camaroptera",0.0681446524677292,0.028381723184539,0.150422773250484,"Shrub cover"
"24","Rattling Cisticola",-0.0107155107659496,-0.0306625715066582,0.0105400748572194,"Shrub cover"
"25","Red-faced Cisticola",-0.0356430890481597,-0.105909421335344,0.0264976087647303,"Shrub cover"
"26","Tawny-flanked Prinia",0.00294367394222447,-0.0186677094724475,0.0257663775725152,"Shrub cover"
"27","Spotted Flycatcher",0.137574398450472,0.00816800469818316,0.307237443677766,"Shrub cover"
"28","Chinspot Batis",0.0302792131493813,-0.0122357505973509,0.0888317531177654,"Shrub cover"
"29","African Paradise Flycatcher",0.0517242178668068,-0.00765851685594726,0.176762603618496,"Shrub cover"
"30","Southern Fiscal",-0.24206168491865,-0.458007788902041,-0.0877955140417662,"Shrub cover"
"31","Red-backed Shrike",-0.0146326104212303,-0.0371981392189381,0.00763696926313125,"Shrub cover"
"32","Southern Boubou",0.040879458674803,0.0114094022500248,0.076709433539613,"Shrub cover"
"33","Black-backed Puffback",0.382386942712513,0.0525645471669904,0.960375082497778,"Shrub cover"
"34","Brown-crowned Tchagra",0.698826360736156,-0.0362148828245629,2.25778141716331,"Shrub cover"
"35","Black-crowned Tchagra",-0.117567089676818,-0.265938669256443,-0.02200517598513,"Shrub cover"
"36","Gorgeous Bushshrike",0.116826391104027,0.0219520519645588,0.26217551867947,"Shrub cover"
"37","Violet-backed Starling",0.0942389696852679,-0.130592261138753,0.698218036431218,"Shrub cover"
"38","Cape Glossy Starling",0.00787820253028569,-0.0491131413549585,0.0809519470419489,"Shrub cover"
"39","White-bellied Sunbird",0.0339305080129775,0.0138962441453514,0.0573018381333658,"Shrub cover"
"40","Scarlet-chested Sunbird",5.3311869778228,0.0155324269603971,9.77468953141292,"Shrub cover"
"41","Cape White-eye",-0.00373527890046097,-0.0446876542138608,0.033774286133873,"Shrub cover"
"42","House Sparrow",-0.00721022103728937,-0.0416490616448242,0.0266951365677898,"Shrub cover"
"43","Southern Grey-headed Sparrow",-0.0319130131061816,-0.0574528743275857,-0.0101728930719759,"Shrub cover"
"44","Spectacled Weaver",4.13386050888125,0.557561375099746,10.0461543244763,"Shrub cover"
"45","Southern Masked Weaver",-0.0269465171496924,-0.136018670320658,0.0650783541465773,"Shrub cover"
"46","Blue Waxbill",-0.0221044549289661,-0.0532400757758239,0.00835059066250633,"Shrub cover"
"47","Yellow-fronted Canary",-0.00873816761056036,-0.0282452192829691,0.0105878701454186,"Shrub cover"
"48","Golden-breasted Bunting",-0.0132645823733724,-0.195015059720804,0.422605692633523,"Shrub cover"
"49","Red-eyed Dove",6.31343157418968,-4.69366736706068,20.9400006003428,"Protected"
"50","Cape Turtle Dove",8.97721431529671,-1.04154830070672,22.8074822368574,"Protected"
"51","Emerald-spotted Wood Dove",2.19899683186844,-0.298177151975157,5.78578196660619,"Protected"
"52","Speckled Mousebird",0.347524737117055,-7.89953466064976,10.0050581790718,"Protected"
"53","Red-faced Mousebird",3.70919132783245,-8.25017378709115,21.6161086249799,"Protected"
"54","Woodland Kingfisher",3.72239460031623,-1.96402813533299,11.2786602336244,"Protected"
"55","Acacia Pied Barbet",0.357987731369508,-6.26129482031618,7.32069159933064,"Protected"
"56","Golden-tailed Woodpecker",4.14321448507391,-4.35446600239502,18.1438249841763,"Protected"
"57","Cardinal Woodpecker",2.11340518582193,-6.0321090721061,14.3258632346298,"Protected"
"58","Barn Swallow",2.14698999039583,1.05638639178825,3.79742841395826,"Protected"
"59","Fork-tailed Drongo",7.98887011041011,0.404748901418628,18.572738219168,"Protected"
"60","Black-headed Oriole",-0.730449522191987,-5.97957375711155,5.22588290439059,"Protected"
"61","Southern Black Tit",7.00696538524789,-3.32246880452167,19.4293354127367,"Protected"
"62","Dark-capped Bulbul",4.72276281403346,1.65719934520591,10.8914574924113,"Protected"
"63","Terrestrial Brownbul",-4.4144357476605,-7.46516488480657,-2.28808838327418,"Protected"
"64","Sombre Greenbul",-2.89091695725228,-5.11131280256156,-0.986565520933949,"Protected"
"65","Eastern Nicator",-3.27662230860414,-7.45208039653822,0.435597937648222,"Protected"
"66","Kurrichane Thrush",6.6596542787387,-2.17275484234531,21.6985496133898,"Protected"
"67","White-browed Scrub Robin",1.13049002772033,-5.36100049940124,12.2481338866349,"Protected"
"68","Willow Warbler",0.205918838503905,-16.4281373703246,18.3690347149464,"Protected"
"69","Yellow-breasted Apalis",-5.39156197949573,-13.0837158212247,1.02519464266883,"Protected"
"70","Long-billed Crombec",1.59655988952522,-6.36865905627895,9.73013105137099,"Protected"
"71","Green-backed Camaroptera",-2.77532826145423,-5.37619519808099,-0.779006706899244,"Protected"
"72","Rattling Cisticola",3.67686852473174,2.01974148356024,5.73492757445164,"Protected"
"73","Red-faced Cisticola",-8.87158867404534,-15.7618209639212,-3.65463789000322,"Protected"
"74","Tawny-flanked Prinia",0.252787904898287,-1.54884435900677,2.34641661839774,"Protected"
"75","Spotted Flycatcher",0.909956765693463,-4.84090914754386,6.72687381073797,"Protected"
"76","Chinspot Batis",3.4183567293138,-0.127607274360861,9.54559715421545,"Protected"
"77","African Paradise Flycatcher",1.60904943446768,-1.53531516575923,8.6685605213367,"Protected"
"78","Southern Fiscal",-9.37810339200593,-18.4132016501668,-3.07754274618176,"Protected"
"79","Red-backed Shrike",1.0997753151911,-0.562652747902217,3.1588108042513,"Protected"
"80","Southern Boubou",-5.22256554147798,-8.08188781520486,-3.17058463285907,"Protected"
"81","Black-backed Puffback",5.3053363930244,-4.31294239391203,20.7110414724544,"Protected"
"82","Brown-crowned Tchagra",5.81596412846251,-5.79406331658497,20.4701458499354,"Protected"
"83","Black-crowned Tchagra",7.78907854208428,0.747666916729325,17.689445698436,"Protected"
"84","Gorgeous Bushshrike",-8.53861322077357,-15.9965587799614,-3.24982757755878,"Protected"
"85","Violet-backed Starling",12.3334635672393,2.06924049385438,25.4752516646624,"Protected"
"86","Cape Glossy Starling",2.21517498875362,-1.67810631728589,8.01564075878726,"Protected"
"87","White-bellied Sunbird",-0.487636105855332,-1.40717545521898,0.569290451439055,"Protected"
"88","Scarlet-chested Sunbird",0.780084862227043,-14.9289161355855,18.5562010393105,"Protected"
"89","Cape White-eye",-3.91640736189008,-8.10637129273104,-0.907829228429263,"Protected"
"90","House Sparrow",-5.7165168438573,-10.150274681522,-3.17835023695581,"Protected"
"91","Southern Grey-headed Sparrow",-1.0711182840876,-2.20692216036159,-0.0455821848575613,"Protected"
"92","Spectacled Weaver",-0.131556454345867,-17.5501727299526,19.6344559396457,"Protected"
"93","Southern Masked Weaver",-1.48060848157161,-7.40957070163723,5.06472339975405,"Protected"
"94","Blue Waxbill",2.85999399233058,1.01657957754093,5.68364264687787,"Protected"
"95","Yellow-fronted Canary",1.96542047748692,0.838404733060374,3.41301739198078,"Protected"
"96","Golden-breasted Bunting",9.28847172187658,0.484092411557969,21.5628159121851,"Protected"
"97","Red-eyed Dove",-1.25204651902395,-11.0175348961663,13.5439276180745,"Pasture"
"98","Cape Turtle Dove",1.71907033634704,-7.80765536251592,15.8502292823181,"Pasture"
"99","Emerald-spotted Wood Dove",-7.2289134934768,-13.9012183633868,-3.15002098684225,"Pasture"
"100","Speckled Mousebird",7.37537801141136,-1.89873959290822,20.6296332422498,"Pasture"
"101","Red-faced Mousebird",4.36311415371901,-7.17294840222218,18.9762723730272,"Pasture"
"102","Woodland Kingfisher",-5.2708406259838,-13.4418939471468,2.21528227721838,"Pasture"
"103","Acacia Pied Barbet",1.64510277484038,-6.17656985923918,11.193798230146,"Pasture"
"104","Golden-tailed Woodpecker",-14.6672806846462,-28.024558554691,-4.63904259517128,"Pasture"
"105","Cardinal Woodpecker",-10.1620555651561,-20.4385411630874,-1.15949520395597,"Pasture"
"106","Barn Swallow",9.51526457523387,2.82851038805855,20.5218723353833,"Pasture"
"107","Fork-tailed Drongo",-5.85042075610438,-13.4608175788491,1.29831820221449,"Pasture"
"108","Black-headed Oriole",-15.2928231589375,-28.8034016491874,-5.53125012280659,"Pasture"
"109","Southern Black Tit",-3.59070747003398,-11.3905777803385,3.96888654093523,"Pasture"
"110","Dark-capped Bulbul",1.48133323220341,-0.614143837192958,4.13107153589848,"Pasture"
"111","Terrestrial Brownbul",-7.12892084276265,-13.6042303986679,-3.59348178331959,"Pasture"
"112","Sombre Greenbul",-4.2408877545387,-7.5827472066578,-1.48840785591131,"Pasture"
"113","Eastern Nicator",-14.1421912503847,-27.1641626705214,-5.29940832230743,"Pasture"
"114","Kurrichane Thrush",-9.46234991995211,-19.5073623081819,-1.5878859790667,"Pasture"
"115","White-browed Scrub Robin",-6.19463110264065,-13.4133631980116,-0.0175577707329332,"Pasture"
"116","Willow Warbler",8.07103111721135,-3.49841591070234,23.4104415588505,"Pasture"
"117","Yellow-breasted Apalis",-16.112395154411,-29.8096605354859,-6.04875712711479,"Pasture"
"118","Long-billed Crombec",0.0198905016675374,-6.99546465434574,7.72682689336611,"Pasture"
"119","Green-backed Camaroptera",-5.32687245506829,-10.8006377856452,-2.14737324469638,"Pasture"
"120","Rattling Cisticola",2.86287000721675,0.502790416561614,5.81737206416349,"Pasture"
"121","Red-faced Cisticola",-6.10520095061915,-14.5535482512988,0.236569905509318,"Pasture"
"122","Tawny-flanked Prinia",3.97215245240883,0.447726613725046,11.3990285369315,"Pasture"
"123","Spotted Flycatcher",-9.36259145941608,-18.3907511025242,-1.77303658231804,"Pasture"
"124","Chinspot Batis",-3.27441173548376,-8.37327553497563,1.20565229644976,"Pasture"
"125","African Paradise Flycatcher",-3.69548567807227,-9.75603556278736,0.540600514772574,"Pasture"
"126","Southern Fiscal",6.32651614001008,0.389374644165964,13.9348107410543,"Pasture"
"127","Red-backed Shrike",0.96110785189984,-1.40407675248568,3.74255967008429,"Pasture"
"128","Southern Boubou",-4.12531909717562,-7.39641521008384,-1.66610861679655,"Pasture"
"129","Black-backed Puffback",-15.5346855174576,-28.704217566486,-5.39186049457382,"Pasture"
"130","Brown-crowned Tchagra",-14.9601761015618,-29.4653774366508,-3.59856650496561,"Pasture"
"131","Black-crowned Tchagra",3.58238359475273,-2.0355167084179,14.0166692744129,"Pasture"
"132","Gorgeous Bushshrike",-9.58129344698042,-18.5552769156543,-3.12221261274506,"Pasture"
"133","Violet-backed Starling",2.71307550852548,-7.0270868712355,17.020852794087,"Pasture"
"134","Cape Glossy Starling",4.52236731890115,-1.12376216448391,13.4921995226686,"Pasture"
"135","White-bellied Sunbird",-1.2073357775059,-2.49136889492334,-0.0125365090687111,"Pasture"
"136","Scarlet-chested Sunbird",9.43884669550437,-1.1331645393967,24.4834111863619,"Pasture"
"137","Cape White-eye",-6.01251701387621,-12.2985978409705,-1.53516957472441,"Pasture"
"138","House Sparrow",2.68465802865527,0.362752934262876,6.664899195958,"Pasture"
"139","Southern Grey-headed Sparrow",10.529592670389,2.88210807463956,24.1837645492202,"Pasture"
"140","Spectacled Weaver",7.33673166634879,-4.84297675017501,22.2054459971127,"Pasture"
"141","Southern Masked Weaver",7.36766181337077,-0.838038464873006,19.9255764838226,"Pasture"
"142","Blue Waxbill",2.67316009665663,0.154892310950311,6.71085793765789,"Pasture"
"143","Yellow-fronted Canary",10.9600840270652,4.10105468234131,23.6802775341456,"Pasture"
"144","Golden-breasted Bunting",-3.45691018254612,-11.3971338481168,3.27579324576647,"Pasture"
"145","Red-eyed Dove",3.78032266737564,-7.04194436859229,18.5251434393238,"Homestead"
"146","Cape Turtle Dove",-5.47690201762347,-21.1766503135122,9.58728313201958,"Homestead"
"147","Emerald-spotted Wood Dove",-1.68076126756299,-5.54959537904869,1.0164223568835,"Homestead"
"148","Speckled Mousebird",-0.295829154036822,-8.28261388215415,10.6829282260837,"Homestead"
"149","Red-faced Mousebird",2.28592868433723,-10.7575475091004,19.6376471836415,"Homestead"
"150","Woodland Kingfisher",-3.30529345650565,-11.2376388709948,3.68961627213927,"Homestead"
"151","Acacia Pied Barbet",2.02674774188674,-3.97271668262644,8.97196699208574,"Homestead"
"152","Golden-tailed Woodpecker",-2.16645043474333,-9.87668507192028,5.61754773134034,"Homestead"
"153","Cardinal Woodpecker",-11.8935430734501,-24.3804689224322,-1.04349061183767,"Homestead"
"154","Barn Swallow",3.34226609272068,1.82419775154776,5.87660631681949,"Homestead"
"155","Fork-tailed Drongo",2.05984833964828,-5.16633854698276,10.0920723898701,"Homestead"
"156","Black-headed Oriole",-6.32505844243988,-13.877848996208,-0.387960182866566,"Homestead"
"157","Southern Black Tit",-4.23743251135395,-13.4387900480672,4.43159140968996,"Homestead"
"158","Dark-capped Bulbul",4.52162102292349,0.946634192424748,14.546369686364,"Homestead"
"159","Terrestrial Brownbul",-4.0976318074079,-7.90773929845628,-1.64180653240061,"Homestead"
"160","Sombre Greenbul",-1.65064611554332,-3.9250189974048,0.673124407289377,"Homestead"
"161","Eastern Nicator",-2.65972370889568,-7.28943420768634,1.80293533210357,"Homestead"
"162","Kurrichane Thrush",-6.39071013524917,-15.7889369050425,2.475097823709,"Homestead"
"163","White-browed Scrub Robin",-5.06330079121216,-12.6756130440016,1.18318381066429,"Homestead"
"164","Willow Warbler",-4.49208554280602,-18.908105330593,15.1992632352287,"Homestead"
"165","Yellow-breasted Apalis",-10.9101706144656,-21.9811179895547,-2.64678405892383,"Homestead"
"166","Long-billed Crombec",0.400263529485437,-6.73553734045715,8.05717803045842,"Homestead"
"167","Green-backed Camaroptera",-3.5137400515485,-7.05621661802429,-0.943805807172113,"Homestead"
"168","Rattling Cisticola",2.4707487841191,0.569984729123499,4.49704757520979,"Homestead"
"169","Red-faced Cisticola",-7.14097196702976,-14.3264991210614,-1.5521363853769,"Homestead"
"170","Tawny-flanked Prinia",-0.328548411496646,-2.52130935478887,2.0624425266329,"Homestead"
"171","Spotted Flycatcher",-4.23258361830702,-11.9406804940129,2.69165309719004,"Homestead"
"172","Chinspot Batis",0.771611766493378,-3.03489904718582,5.92587537437166,"Homestead"
"173","African Paradise Flycatcher",-4.63614024301695,-11.8780935604504,-0.906863792410134,"Homestead"
"174","Southern Fiscal",-0.78272943914413,-7.32217652527459,5.03363590489594,"Homestead"
"175","Red-backed Shrike",1.06157128540628,-0.924112489549189,3.4159477620859,"Homestead"
"176","Southern Boubou",-1.68990961283598,-3.736538979577,0.447684887837609,"Homestead"
"177","Black-backed Puffback",-5.9328443305216,-14.5253014903595,2.55742145820873,"Homestead"
"178","Brown-crowned Tchagra",-0.0857049041622745,-11.9445345447727,18.3182629489611,"Homestead"
"179","Black-crowned Tchagra",6.14715402805821,-0.0278381399385054,16.1337901893003,"Homestead"
"180","Gorgeous Bushshrike",-5.79176358535949,-13.4666460959805,-0.143589997819639,"Homestead"
"181","Violet-backed Starling",-4.65313222622721,-14.6585117154231,5.18134562925105,"Homestead"
"182","Cape Glossy Starling",-0.885509677461379,-5.69845236931612,4.47546131769448,"Homestead"
"183","White-bellied Sunbird",-0.420365861310982,-1.55495656315036,0.926304125683188,"Homestead"
"184","Scarlet-chested Sunbird",5.17425872289518,-6.3771270655408,22.1506995196243,"Homestead"
"185","Cape White-eye",-5.41670907320356,-10.3042967048371,-1.82063764560335,"Homestead"
"186","House Sparrow",-3.50936733737385,-6.66042018176137,-1.47863239224961,"Homestead"
"187","Southern Grey-headed Sparrow",-1.08928956508724,-2.46792622833123,0.00864108449826829,"Homestead"
"188","Spectacled Weaver",5.02663266886498,-7.48083456745135,21.9142844541996,"Homestead"
"189","Southern Masked Weaver",-2.39033498316048,-8.43549284102107,4.13194984801425,"Homestead"
"190","Blue Waxbill",1.25977830987012,-0.734385287234177,3.79246085351649,"Homestead"
"191","Yellow-fronted Canary",1.96278802594651,0.605874678023259,3.64975315367106,"Homestead"
"192","Golden-breasted Bunting",2.50106844624874,-4.01884958639352,11.2333913657381,"Homestead"
"193","Red-eyed Dove",1.98055844063168,-9.31684879103409,17.0262927736403,"Plantation"
"194","Cape Turtle Dove",4.53980333045645,-5.68780807378376,19.2128098228114,"Plantation"
"195","Emerald-spotted Wood Dove",-1.46322796251372,-5.87097991641679,2.46906544934179,"Plantation"
"196","Speckled Mousebird",-6.57783400270352,-16.8461867336089,2.27861346008454,"Plantation"
"197","Red-faced Mousebird",-7.37059743995718,-20.4513443507074,3.58865615887684,"Plantation"
"198","Woodland Kingfisher",-4.96810551726037,-15.2156595158904,5.36917928757077,"Plantation"
"199","Acacia Pied Barbet",-12.6337174927559,-26.7513835276685,-1.30751497675465,"Plantation"
"200","Golden-tailed Woodpecker",-11.6138314337443,-25.3063604560696,-0.886023382097748,"Plantation"
"201","Cardinal Woodpecker",-4.37520665640291,-15.2922190570351,8.84010292504522,"Plantation"
"202","Barn Swallow",10.4580712133026,3.11189307735071,22.856682552956,"Plantation"
"203","Fork-tailed Drongo",-7.53043983731073,-17.4127197562186,0.583933677659131,"Plantation"
"204","Black-headed Oriole",-5.08709282194891,-14.8493660477115,3.72202259328521,"Plantation"
"205","Southern Black Tit",-12.7681339606959,-25.9705432017731,-0.769974774608306,"Plantation"
"206","Dark-capped Bulbul",1.18922354204809,-1.43333772019358,4.66783841700673,"Plantation"
"207","Terrestrial Brownbul",-3.71136128266708,-8.09597050954313,0.00565628951595621,"Plantation"
"208","Sombre Greenbul",-3.29505891719047,-7.29264233356851,-0.00955011119841378,"Plantation"
"209","Eastern Nicator",-12.4240677186339,-25.6531028513737,-2.15523647441159,"Plantation"
"210","Kurrichane Thrush",-10.6685954312312,-23.9115740391233,1.08038526290742,"Plantation"
"211","White-browed Scrub Robin",-9.40797036095476,-19.3292348077406,-1.41807576251456,"Plantation"
"212","Willow Warbler",5.56535229810335,-5.35806000982802,21.2707312866899,"Plantation"
"213","Yellow-breasted Apalis",-5.35241118554802,-14.9191824364208,2.86891563891084,"Plantation"
"214","Long-billed Crombec",-6.56377001199601,-15.7686686265992,1.2879433267457,"Plantation"
"215","Green-backed Camaroptera",-3.26814307667164,-7.8447688201334,0.521304092950133,"Plantation"
"216","Rattling Cisticola",-1.62233293305593,-4.77030841766774,1.12923314372943,"Plantation"
"217","Red-faced Cisticola",0.685394551836572,-6.95695737491037,8.8065284860712,"Plantation"
"218","Tawny-flanked Prinia",-0.0820613429484623,-3.9179099691761,4.32618113590305,"Plantation"
"219","Spotted Flycatcher",-7.6158668595238,-18.1075060286977,1.75594274662552,"Plantation"
"220","Chinspot Batis",-6.3388246686178,-14.3238056955212,-0.491362083324051,"Plantation"
"221","African Paradise Flycatcher",-2.8169712125451,-9.05166164917112,4.27843438691399,"Plantation"
"222","Southern Fiscal",-12.7778791274267,-26.036276080039,-2.73974016118313,"Plantation"
"223","Red-backed Shrike",-5.45770147938686,-10.5250188967782,-1.56043800513012,"Plantation"
"224","Southern Boubou",-11.6784761388336,-25.2565973145201,-3.6252022974653,"Plantation"
"225","Black-backed Puffback",-4.64741038261315,-15.515525310202,5.3934379498521,"Plantation"
"226","Brown-crowned Tchagra",-9.62361269853399,-24.4095139453174,3.35433411685244,"Plantation"
"227","Black-crowned Tchagra",-10.6044482561739,-22.0013316365396,-1.31442758091024,"Plantation"
"228","Gorgeous Bushshrike",-12.2568168223943,-25.8603920114217,-1.99442814170976,"Plantation"
"229","Violet-backed Starling",-7.57284671812895,-23.4626746489402,11.7784098589769,"Plantation"
"230","Cape Glossy Starling",-4.84989812553214,-13.4257644403522,2.51286198068909,"Plantation"
"231","White-bellied Sunbird",-4.41749787616554,-7.62149515571978,-1.92294424340666,"Plantation"
"232","Scarlet-chested Sunbird",-10.2499210678406,-24.4463745868153,0.6336277156353,"Plantation"
"233","Cape White-eye",-4.15755365914035,-10.7731640080634,1.06351444989694,"Plantation"
"234","House Sparrow",-11.5297616366844,-24.4368429759953,-3.60936591987051,"Plantation"
"235","Southern Grey-headed Sparrow",-10.5250813672747,-23.4458565241089,-3.14991552307596,"Plantation"
"236","Spectacled Weaver",-0.160127375202136,-13.0723963658083,16.0380085975663,"Plantation"
"237","Southern Masked Weaver",-4.82520931177135,-14.7968749713616,6.44914791510563,"Plantation"
"238","Blue Waxbill",-3.22754752136329,-6.94867045767172,-0.0863897658224274,"Plantation"
"239","Yellow-fronted Canary",-0.575884794745353,-2.40310341920649,1.22202593565998,"Plantation"
"240","Golden-breasted Bunting",-10.7319395441331,-24.3095552827705,0.311755624693742,"Plantation"
